tuned_ls1,tuned_gs0,tuned_s0,tuned_vec,tuned_gs1,tuned_ls0,tuned_s1,compute_time,energy,timeouts,iterations
1,512,32,2,2,128,32768,11.654144,55.95218006319834,60000,10
8,32,32768,4,128,32,512,510.163968,59.75192202530224,60000,10
32,4,262144,4,256,4,16777216,0.009216,40.48673503563193,60000,10
8,256,32,2,32,8,1,24.069056,29.795041325484902,60000,10
8,4,32768,4,512,1,131072,4482.528256,315.3658760393941,60000,10
4,512,131072,4,16,4,64,7.69024,30.995937189010867,60000,10
1,128,8388608,2,16,8,1024,69.417984,33.49046414464904,60000,10
1,4,256,2,64,2,8,242.863104,43.91958509477088,60000,10
1,16,128,2,64,4,256,2.88768,32.11772245556143,60000,10
1,32,32,2,4,4,4,28.767232,32.899661643127864,60000,10
2,256,16384,2,4,16,128,7.864192,30.382163703563503,60000,10
2,64,1024,2,4,32,8,48.241664,31.631919684068205,60000,10
1,256,64,4,256,16,4096,4.253696,29.493313885826616,60000,10
4,32,33554432,2,128,4,128,392.449152,45.55602479908884,60000,10
2,128,2097152,2,8,8,262144,18.023424,31.85719762935,60000,10
64,512,32768,2,1024,16,32768,0.02048,42.89987459331084,60000,10
1,1,16384,4,4,1,1024,857.152416,61.63685608403413,60000,10
4,1024,512,4,64,256,524288,1.204224,30.29089441959913,60000,10
1,1024,524288,4,4,1,1024,16.238592,30.44400885821614,60000,10
2,64,32768,4,32,2,32768,0.006144,41.16650490164262,60000,10
8,16,2048,4,32,16,512,951.058432,66.460820878374,60000,10
32,32,256,2,32,4,16777216,0.72896,32.382753029269296,60000,10
4,8,1024,4,512,8,512,1.447104,29.3534136258684,60000,10
4,128,33554432,4,128,8,131072,460.448768,48.90570958613997,60000,10
1,512,256,2,16,2,128,35.294208,33.56340021096918,60000,10
1,4,256,4,4,2,2,243.473408,39.73782505524,60000,10
2,1024,16,4,64,2,32,2.014272,33.04626826775824,60000,10
64,128,1,2,64,2,2097152,23.053312,29.281777970158565,60000,10
2,2,256,2,256,1,524288,0.0,3836.5758097948815,60000,10
1,32,128,2,32,8,128,2.887712,30.578131743080704,60000,10
64,128,128,4,256,2,524288,0.22528,41.35967843594711,60000,10
2,32,16384,4,16,4,8192,0.015328,40.53942096596756,60000,10
2,256,131072,2,1024,256,4194304,0.070656,42.54562779907264,60000,10
128,32,2097152,2,1024,4,64,281.45152,52.035370489243405,60000,10
1,1024,4096,2,4,1,16384,69.78352,37.381309760137874,60000,10
128,8,64,2,256,2,131072,5.86544,37.718096960794725,60000,10
64,512,4096,4,512,4,4,120.777728,38.94028684091384,60000,10
1,1024,32,4,2,2,512,0.10752,41.32487394691561,60000,10
32,256,1048576,2,256,32,32768,510.37408,75.4667928421266,60000,10
16,1,4194304,4,1024,1,16,458.954752,61.23732683978949,60000,10
2,1,2097152,4,2,1,64,886.586368,68.38765823208296,60000,10
1,32,64,2,8,2,2097152,1.448,33.42260681863629,60000,10
64,512,1024,2,512,4,4194304,0.067456,40.52423281899399,60000,10
1,256,8388608,4,8,16,2,23.339008,31.100133981710364,60000,10
4,4,32768,4,8,1,2097152,0.0,2444.449896222557,60000,10
2,512,4096,4,32,1,33554432,0.0,1466.59756439544,60000,10
2,512,16777216,4,128,8,64,195.6608,47.76429841864921,60000,10
64,4,1,4,64,2,128,737.414144,59.58549857005816,60000,10
1,32,262144,2,512,32,512,878.988288,106.17135630020478,60000,10
2,512,128,4,8,32,1024,0.728064,32.49115344541638,60000,10
256,64,32,4,512,2,8,88.138912,38.49768612210002,60000,10
16,32,2048,2,16,32,8,648.987648,59.67056601376568,60000,10
128,1024,16384,4,256,8,33554432,0.008192,42.4927710430304,60000,10
1,1024,16,2,256,4,32,15.28832,32.42347382783687,60000,10
1,512,262144,2,64,16,64,118.09488,40.523656487531255,60000,10
4,16,4,2,64,8,64,184.34048,39.00889815793315,60000,10
1,32,16777216,2,8,32,2048,100.808768,36.585937652589074,60000,10
2,512,16,4,64,256,8,57.806848,34.684660361851485,60000,10
2,512,256,4,8,16,4,7.266176,31.203858917498746,60000,10
16,4,524288,2,512,2,64,241.651712,43.654433357714666,60000,10
32,16,8,4,256,16,128,224.919552,44.61240533961478,60000,10
2,128,8192,4,2,1,33554432,0.0,333.25591082330993,60000,10
64,32,2097152,2,512,4,33554432,0.003904,42.15027944354759,60000,10
16,1,16384,2,512,1,4194304,0.0,2734.9891783375365,60000,10
4,512,1048576,4,128,4,131072,67.328,41.43808635203124,60000,10
1,256,4096,4,64,8,2048,0.022528,40.59302732818136,60000,10
4,512,33554432,2,1024,1,4194304,1673.347968,125.4341469755634,60000,10
2,64,128,2,2,4,8192,0.72704,30.28554157524637,60000,10
1,512,33554432,2,16,8,1,198.76352,39.420204071080015,60000,10
1,128,8,2,16,128,8192,184.348672,37.336138558125,60000,10
16,256,16,2,512,32,2048,37.686144,37.124402147433926,60000,10
8,128,8388608,4,1024,128,32,5347.27168,447.538149033866,60000,10
32,1024,131072,4,128,16,262144,0.004096,45.30365228152881,60000,10
32,32,2048,4,64,8,128,131.223552,36.47728373071014,60000,10
16,32,2,2,64,4,2097152,92.17536,37.35236220296288,60000,10
16,512,4096,2,16,32,4096,0.03072,42.21829016703201,60000,10
8,64,4194304,4,64,64,1048576,1103.440896,79.35446643075001,60000,10
32,512,256,4,64,1,2048,131.037184,45.59274833341017,60000,10
1,512,65536,4,16,128,16,30.898176,33.009846870943335,60000,10
4,64,524288,4,16,32,256,143.785984,36.425076191383866,60000,10
128,8,2097152,4,128,4,2,321.514496,47.05081131177317,60000,10
128,512,16777216,2,128,4,4096,482.958336,50.614015794187495,60000,10
16,128,16777216,4,64,2,1024,227.167232,40.13827491175619,60000,10
32,1024,8192,2,64,16,8,49.916896,34.202280441658004,60000,10
8,256,8388608,2,512,128,131072,2334.65856,189.9101519998376,60000,10
4,512,8192,2,32,2,65536,0.008,41.69885324122148,60000,10
1,64,2097152,2,8,2,128,30.746688,33.88522410529968,60000,10
4,4,32,4,128,2,524288,23.050112,33.793989479437776,60000,10
16,1024,512,2,128,16,131072,0.14352,41.73670590472811,60000,10
32,128,8192,2,512,32,524288,0.078848,42.40515574316143,60000,10
4,256,2048,4,32,32,524288,0.094144,42.88051695923081,60000,10
2,512,16777216,4,32,256,128,68.195328,34.85983359437905,60000,10
32,16,262144,2,512,1,16,58.302528,34.572134055070336,60000,10
4,64,16777216,4,8,16,4194304,416.114688,46.51115718205572,60000,10
4,128,16,2,32,1,16777216,0.0,5287.787453526937,60000,10
64,32,32768,4,256,16,16777216,0.04096,45.1991806791527,60000,10
8,128,4194304,4,8,1,1,109.510656,36.90606871084523,60000,10
4,64,33554432,4,256,1,4096,994.44736,85.39953423177377,60000,10
1,2,32,4,128,1,33554432,0.0,275.90174469679926,60000,10
8,128,16384,4,256,1,65536,1092.492288,148.94088207756013,60000,10
512,1,131072,2,512,1,2097152,48785.626112,2083.6795364955988,60000,10
2,64,512,2,2,2,4194304,0.093184,45.31905509707284,60000,10
32,128,64,2,512,8,128,2.376704,31.0079079341058,60000,10
1,64,4,2,1,1,512,1762.53952,132.69893241160636,60000,10
256,8,16777216,4,1024,4,4,621.356032,63.44557805341272,60000,10
16,128,1,4,32,4,33554432,46.097376,33.47149909006149,60000,10
8,512,4,4,8,128,524288,154.295296,38.683057269668005,60000,10
1,1024,4,4,4,256,16384,93.735936,34.34639088207539,60000,10
8,512,32768,2,128,64,16777216,0.013312,43.45355740502337,60000,10
1,512,33554432,2,512,1,8388608,2111.048896,174.96266132667654,60000,10
64,64,8,2,512,1,1,36.579328,38.9654745900413,60000,10
16,1024,2097152,4,16,2,16777216,0.004096,40.14331885947696,60000,10
1,1024,8,4,8,2,33554432,1.045504,31.30676220981517,60000,10
2,1,16384,4,4,1,8388608,0.0,2414.095340681662,60000,10
4,128,16777216,2,512,2,32,434.651136,62.63748651147029,60000,10
1024,128,1048576,4,1024,1,2048,89.739264,40.8445080405736,60000,10
2,64,16384,2,128,32,32768,0.049152,41.17245525084079,60000,10
4,512,131072,2,8,2,1024,4.343808,30.68014089491229,60000,10
32,128,2,2,128,32,4096,305.77664,45.751865744742695,60000,10
1,32,33554432,2,512,16,128,1711.392768,136.97376820991235,60000,10
1,64,1048576,4,8,64,8192,101.609472,35.903658595319385,60000,10
16,128,256,4,128,2,4194304,0.098304,45.90129029163946,60000,10
8,16,262144,2,128,4,524288,0.00512,41.16956603622717,60000,10
2,1024,128,2,32,1,16,31.154176,33.84914826255866,60000,10
32,1024,32,4,32,4,4,7.015616,30.48266744746929,60000,10
128,8,262144,2,1024,2,131072,300.177536,48.49737130722247,60000,10
2,16,16384,2,8,2,33554432,0.014336,41.51818106656824,60000,10
128,64,64,4,256,2,32768,0.740256,30.865521673970537,60000,10
